OTU_ID	SRR10803250	SRR10803271	SRR10803282
OTU_0	23013	12	0
OTU_1	17152	2	2
OTU_10	16880	0	0
OTU_100	153	0	0
OTU_101	22	0	0
OTU_102	0	37	0
OTU_103	36	41	26
OTU_104	55	0	0
OTU_105	81	0	0
OTU_106	134	0	0
OTU_107	52	0	14
OTU_108	5687	47	0
OTU_109	25	25	0
OTU_11	8441	0	0
OTU_110	8	0	18
OTU_111	23	7	0
OTU_112	326	185	4
OTU_113	37	0	0
OTU_114	91	0	0
OTU_115	111	2	0
OTU_116	57	0	0
OTU_117	32	0	0
OTU_118	25	0	0
OTU_119	1029	48	56
OTU_12	34629	6614	14
OTU_120	69	44	0
OTU_121	34	4	0
OTU_122	16	4	0
OTU_123	0	28	0
OTU_124	1502	0	14
OTU_125	21	0	0
OTU_126	250	0	0
OTU_127	70	0	13
OTU_128	139	0	0
OTU_129	2	2	27
OTU_13	5452	0	0
OTU_130	34	0	0
OTU_131	82	0	0
OTU_132	26	0	0
OTU_133	34	0	0
OTU_134	0	13	0
OTU_135	4	19	0
OTU_136	67	0	0
OTU_137	22	0	0
OTU_138	12	21	0
OTU_139	50	0	2
OTU_14	6842	0	438
OTU_140	29	0	0
OTU_141	43	0	0
OTU_142	15	0	9
OTU_143	2	14	0
OTU_144	25	9	127
OTU_145	175	0	0
OTU_146	40	78	0
OTU_147	34	0	0
OTU_148	27	0	0
OTU_149	33	2	0
OTU_15	2280	1959	0
OTU_150	21	3	17
OTU_151	33	13	0
OTU_152	24	0	0
OTU_153	38	0	18
OTU_154	11	0	0
OTU_155	203	46	16
OTU_156	19	0	0
OTU_157	20	0	0
OTU_158	62	0	2
OTU_159	27	6	0
OTU_16	516	0	5217
OTU_160	3	0	21
OTU_161	0	0	27
OTU_162	10	0	0
OTU_163	8	0	0
OTU_164	10	14	2
OTU_165	34	0	3
OTU_166	24	3	0
OTU_167	71	2	0
OTU_168	22	0	0
OTU_169	12	0	0
OTU_17	12393	517	35
OTU_170	28	5	0
OTU_171	10	0	0
OTU_172	8	0	0
OTU_173	32	15	0
OTU_174	0	8	0
OTU_175	3	14	0
OTU_176	12	0	5
OTU_177	21	0	0
OTU_178	21	0	0
OTU_179	40	6	0
OTU_18	8118	0	7
OTU_180	47	0	467
OTU_181	19	0	0
OTU_182	11	0	0
OTU_183	57	0	0
OTU_184	18	0	0
OTU_185	17	0	0
OTU_186	11	2	0
OTU_187	24	0	0
OTU_188	76	0	6
OTU_189	0	23	0
OTU_19	15830	0	0
OTU_190	0	22	0
OTU_191	0	7	0
OTU_192	0	16	0
OTU_193	0	5	10
OTU_194	34	0	0
OTU_195	14	0	0
OTU_196	15	0	0
OTU_197	8	0	0
OTU_198	31	19	0
OTU_199	14	0	0
OTU_2	23488	6153	0
OTU_20	5002	0	0
OTU_200	6	0	0
OTU_201	22	0	0
OTU_202	8	0	0
OTU_203	18	95	0
OTU_204	13	3	0
OTU_205	20	2	0
OTU_206	17	0	0
OTU_207	6	0	0
OTU_208	11	0	0
OTU_209	10	0	0
OTU_21	1514	0	2
OTU_210	9	0	0
OTU_211	0	8	13
OTU_212	0	0	31
OTU_213	5	0	0
OTU_214	5	0	0
OTU_215	43	0	0
OTU_216	7	0	0
OTU_217	16	0	0
OTU_218	12	0	0
OTU_219	5	0	17
OTU_22	9729	0	0
OTU_220	140	168	13
OTU_221	27	0	0
OTU_222	7	0	0
OTU_223	16	2	0
OTU_224	9	0	0
OTU_225	14	0	0
OTU_226	5	0	0
OTU_227	7	0	0
OTU_228	14	0	0
OTU_229	27	0	0
OTU_23	1788	397	0
OTU_230	8	0	0
OTU_231	13	0	0
OTU_232	7	0	0
OTU_233	11	0	0
OTU_234	15	7	0
OTU_235	5	2	0
OTU_236	5	0	0
OTU_237	5	15	11
OTU_238	33	8	0
OTU_239	0	34	0
OTU_24	1425	0	0
OTU_240	0	8	0
OTU_241	0	5	0
OTU_242	0	5	0
OTU_243	0	0	15
OTU_244	0	0	24
OTU_245	17	0	0
OTU_246	4	0	0
OTU_247	11	0	2
OTU_248	4	0	0
OTU_249	12	0	0
OTU_25	5077	768	18
OTU_250	13	0	0
OTU_251	4	0	0
OTU_252	4	0	0
OTU_253	13	0	0
OTU_254	4	0	0
OTU_255	21	0	0
OTU_256	1171	22	0
OTU_257	4	0	0
OTU_258	18	0	0
OTU_259	11	0	2
OTU_26	77	0	3235
OTU_260	28	0	0
OTU_261	12	0	0
OTU_262	4	0	0
OTU_263	33	0	0
OTU_264	4	0	0
OTU_265	17	0	0
OTU_266	33	0	0
OTU_267	46	0	0
OTU_268	11	0	0
OTU_269	19	0	4
OTU_27	5995	0	2
OTU_270	6	0	38
OTU_271	9	0	0
OTU_272	4	0	0
OTU_273	32	4	0
OTU_274	4	4	3
OTU_275	8	0	2
OTU_276	26	0	0
OTU_277	15	0	0
OTU_278	8	0	0
OTU_279	17	0	0
OTU_28	0	13	1102
OTU_280	6	0	0
OTU_281	6	0	0
OTU_282	23	3	0
OTU_283	4	0	0
OTU_284	65	1263	0
OTU_285	4	6	0
OTU_286	0	19	0
OTU_287	0	6	0
OTU_288	0	4	0
OTU_289	0	0	47
OTU_29	1434	372	13
OTU_290	0	0	11
OTU_291	0	0	8
OTU_292	0	0	10
OTU_293	0	0	4
OTU_294	0	0	8
OTU_295	2	0	8
OTU_296	5	0	0
OTU_297	3	0	0
OTU_298	3	0	0
OTU_299	3	0	0
OTU_3	23010	24	0
OTU_30	24	35	7095
OTU_300	5	0	0
OTU_301	3	0	0
OTU_302	3	0	0
OTU_303	25	0	0
OTU_304	5	0	0
OTU_305	3	0	0
OTU_306	10	0	0
OTU_307	3	0	0
OTU_308	3	0	4
OTU_309	7	0	0
OTU_31	1280	27	0
OTU_310	3	0	0
OTU_311	20	0	0
OTU_312	7	0	11
OTU_313	9	0	0
OTU_314	3	0	0
OTU_315	47	402	0
OTU_316	5	0	0
OTU_317	23	0	0
OTU_318	5	0	0
OTU_319	8	0	0
OTU_32	2144	58	0
OTU_320	14	0	0
OTU_321	3	0	0
OTU_322	3	0	0
OTU_323	3	0	0
OTU_324	8	0	0
OTU_325	3	0	0
OTU_326	7	0	0
OTU_327	3	0	0
OTU_328	5	0	0
OTU_329	9	5	0
OTU_33	1088	0	0
OTU_330	8	0	0
OTU_331	5	0	0
OTU_332	61	4	9
OTU_333	8	0	0
OTU_334	7	0	0
OTU_335	3	0	0
OTU_336	7	0	0
OTU_337	6	3	0
OTU_338	38	0	0
OTU_339	181	2	0
OTU_34	239	44	3299
OTU_340	13	0	0
OTU_341	3	0	0
OTU_342	8	0	0
OTU_343	3	0	0
OTU_344	5	0	0
OTU_345	3	0	0
OTU_346	3	0	0
OTU_347	9	0	0
OTU_348	5	0	0
OTU_349	9	0	0
OTU_35	494	0	0
OTU_350	5	0	0
OTU_351	3	0	0
OTU_352	11	0	0
OTU_353	7	0	0
OTU_354	19	0	2
OTU_355	9	0	0
OTU_356	5	0	2
OTU_357	10	0	0
OTU_358	3	0	0
OTU_359	5	0	0
OTU_36	1229	0	0
OTU_360	3	0	0
OTU_361	7	2	0
OTU_362	3	0	0
OTU_363	170	49	9
OTU_364	3	0	6
OTU_365	5	0	0
OTU_366	3	2	0
OTU_367	11	0	0
OTU_368	11	0	0
OTU_369	5	0	0
OTU_37	471	0	6
OTU_370	7	0	0
OTU_371	0	3	0
OTU_372	0	3	0
OTU_373	0	5	0
OTU_374	0	5	0
OTU_375	0	0	7
OTU_376	0	0	10
OTU_377	0	0	11
OTU_378	0	0	8
OTU_379	0	0	7
OTU_38	582	0	0
OTU_380	0	2	3
OTU_381	8	0	5
OTU_382	0	0	7
OTU_383	0	0	3
OTU_384	2	0	0
OTU_385	10	0	0
OTU_386	2	0	0
OTU_387	6	2	0
OTU_388	4	0	0
OTU_389	52	10	0
OTU_39	1185	0	0
OTU_390	2	0	0
OTU_391	2	0	0
OTU_392	10	0	0
OTU_393	2	0	0
OTU_394	96	0	2
OTU_395	2	0	0
OTU_396	22	0	0
OTU_397	2	0	0
OTU_398	6	0	0
OTU_399	4	0	0
OTU_4	28965	0	0
OTU_40	40	0	1979
OTU_400	2	0	0
OTU_401	4	0	0
OTU_402	6	0	0
OTU_403	60	4	4
OTU_404	6	6	0
OTU_405	8	0	0
OTU_406	2	0	0
OTU_407	2	0	0
OTU_408	2	0	0
OTU_409	4	0	0
OTU_41	359	0	0
OTU_410	2	0	0
OTU_411	8	0	0
OTU_412	2	0	0
OTU_413	2	0	0
OTU_414	2	0	0
OTU_415	2	0	0
OTU_416	2	0	0
OTU_417	4	0	0
OTU_418	2	0	0
OTU_419	4	0	0
OTU_42	762	299	2
OTU_420	2	0	0
OTU_421	2	0	0
OTU_422	2	0	0
OTU_423	4	0	0
OTU_424	2	0	0
OTU_425	2	0	0
OTU_426	2	0	0
OTU_427	2	0	0
OTU_428	2	0	0
OTU_429	4	0	0
OTU_43	62	0	1134
OTU_430	4	0	0
OTU_431	20	0	0
OTU_432	6	0	0
OTU_433	2	0	0
OTU_434	32	0	0
