# Constructed from biom file
#OTU ID	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369
b04e160f030bf72f7f12525dceda5e02	4346.0	199.0	279.0	1948.0	3696.0	946.0	5156.0	10466.0	4058.0	6842.0	6584.0	3753.0	322.0	236.0	13995.0	2173.0	2271.0	217.0	8744.0	0.0	390.0	8809.0	252.0	1543.0	247.0	0.0	7375.0	0.0	982.0	226.0	1759.0	5703.0	300.0	0.0	0.0	0.0	0.0	169.0	12.0	1972.0	456.0	48.0	1358.0	518.0	2479.0	995.0	0.0	300.0	18397.0	2978.0	1778.0	1229.0	4067.0	11325.0	166.0	9494.0	4448.0	6528.0	73.0	56.0	8883.0	50.0	4496.0	1677.0	39.0	105.0	75.0	6641.0	109.0	304.0	372.0	174.0	40.0	307.0	592.0	0.0	10144.0	1823.0	2018.0	721.0	93.0	4486.0	6388.0	743.0	11886.0	7046.0	344.0	419.0	4055.0	647.0	1957.0	4226.0	196.0	3303.0	1026.0	0.0	4475.0	1733.0	69.0	7511.0	737.0	40.0	11572.0	110.0	607.0	0.0	0.0	3566.0	1235.0	0.0	10.0	464.0	2028.0	1783.0	488.0	0.0	27.0	15.0
8696a3881e723366d48a97bb40cf3657	3712.0	0.0	180.0	1330.0	2690.0	848.0	2601.0	5221.0	2540.0	5251.0	3797.0	2324.0	254.0	165.0	8122.0	1396.0	1314.0	148.0	5521.0	59.0	281.0	5375.0	124.0	947.0	111.0	0.0	4812.0	0.0	508.0	119.0	991.0	3212.0	249.0	0.0	0.0	45.0	0.0	117.0	0.0	1394.0	306.0	36.0	808.0	282.0	2022.0	639.0	0.0	212.0	10856.0	2332.0	983.0	1122.0	3150.0	8152.0	96.0	6371.0	2603.0	3299.0	37.0	29.0	4405.0	0.0	3286.0	1009.0	0.0	89.0	52.0	4317.0	61.0	176.0	200.0	0.0	0.0	204.0	460.0	0.0	8306.0	1143.0	1662.0	604.0	55.0	2531.0	3835.0	465.0	6390.0	3900.0	276.0	256.0	1986.0	362.0	1102.0	2416.0	133.0	1894.0	665.0	5.0	2590.0	1003.0	0.0	4340.0	547.0	0.0	6938.0	86.0	324.0	0.0	0.0	2896.0	1049.0	0.0	0.0	376.0	1425.0	1223.0	343.0	0.0	0.0	0.0
377e2e2a7c606991b0006f5108d9b427	1294.0	0.0	291.0	707.0	1246.0	99.0	925.0	6068.0	1639.0	3000.0	2810.0	1088.0	124.0	226.0	9917.0	243.0	414.0	224.0	10990.0	18.0	397.0	9151.0	254.0	1607.0	111.0	0.0	10012.0	0.0	513.0	182.0	2109.0	6523.0	0.0	0.0	7.0	29.0	0.0	142.0	6.0	192.0	55.0	49.0	228.0	0.0	1165.0	373.0	0.0	32.0	14318.0	1160.0	669.0	274.0	1817.0	4324.0	149.0	3859.0	4481.0	5407.0	37.0	50.0	5914.0	35.0	1806.0	2206.0	7.0	30.0	13.0	2405.0	38.0	391.0	272.0	66.0	17.0	260.0	0.0	0.0	4118.0	622.0	585.0	169.0	14.0	2141.0	2674.0	126.0	10619.0	2692.0	270.0	346.0	1888.0	112.0	499.0	2598.0	107.0	1564.0	233.0	0.0	2673.0	622.0	57.0	3465.0	147.0	37.0	13452.0	24.0	475.0	0.0	0.0	4225.0	1629.0	0.0	0.0	28.0	271.0	289.0	73.0	0.0	6.0	0.0
03a7a76c0bd882f3f9bfc3408fb54b8e	2331.0	14.0	217.0	996.0	1293.0	285.0	528.0	4152.0	1779.0	6055.0	2727.0	1167.0	185.0	116.0	7086.0	340.0	938.0	178.0	7129.0	18.0	273.0	6216.0	134.0	888.0	73.0	0.0	4520.0	6.0	656.0	83.0	728.0	2601.0	79.0	0.0	0.0	0.0	0.0	57.0	0.0	364.0	163.0	20.0	441.0	82.0	1254.0	425.0	0.0	45.0	11871.0	3029.0	589.0	373.0	3317.0	6102.0	94.0	5642.0	2470.0	1884.0	15.0	124.0	2757.0	54.0	3189.0	853.0	10.0	55.0	42.0	6640.0	75.0	151.0	228.0	34.0	5.0	126.0	100.0	0.0	8938.0	504.0	532.0	274.0	23.0	2109.0	3075.0	179.0	4593.0	3319.0	125.0	176.0	1549.0	267.0	1138.0	1930.0	240.0	1356.0	510.0	0.0	1665.0	1124.0	22.0	3170.0	118.0	21.0	5258.0	68.0	344.0	0.0	0.0	2423.0	832.0	0.0	0.0	21.0	900.0	597.0	339.0	0.0	9.0	4.0
803e28c99cc02f699cddfb8d8bf5c67c	0.0	0.0	895.0	80.0	44.0	9.0	165.0	266.0	155.0	239.0	307.0	95.0	0.0	2262.0	60.0	0.0	97.0	9.0	173.0	0.0	1377.0	0.0	0.0	0.0	0.0	149.0	13.0	0.0	180.0	359.0	55.0	129.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	6.0	0.0	11.0	15.0	50.0	35.0	5.0	10.0	180.0	7.0	0.0	0.0	0.0	32.0	8520.0	63.0	35.0	88.0	0.0	0.0	82.0	2.0	113.0	0.0	108.0	2.0	46.0	243.0	0.0	337.0	345.0	440.0	10603.0	14102.0	0.0	6.0	142.0	0.0	70.0	16.0	5.0	108.0	370.0	59.0	127.0	77.0	44.0	16114.0	2764.0	2486.0	892.0	2285.0	465.0	170.0	334.0	0.0	2031.0	417.0	655.0	7.0	0.0	0.0	291.0	94.0	329.0	1529.0	1273.0	47.0	0.0	53372.0	0.0	0.0	44.0	47.0	0.0	4.0	11.0	0.0
bd60ea828d295ccf529fe35d99176a5f	20.0	156.0	30.0	0.0	0.0	103.0	0.0	0.0	4.0	20.0	20.0	41.0	9028.0	25.0	25.0	17.0	17.0	2379.0	0.0	0.0	4.0	318.0	5820.0	4556.0	0.0	40.0	10.0	0.0	0.0	0.0	0.0	0.0	494.0	0.0	0.0	7.0	12.0	8947.0	5.0	1318.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	291.0	299.0	9440.0	125.0	672.0	15.0	36.0	18.0	1145.0	2159.0	100.0	8606.0	3.0	8.0	0.0	0.0	0.0	99.0	0.0	0.0	19.0	3573.0	8.0	0.0	0.0	0.0	14.0	765.0	24.0	0.0	21.0	0.0	0.0	0.0	0.0	1863.0	0.0	96.0	28.0	9.0	24.0	23.0	433.0	60.0	21.0	31.0	1205.0	0.0	0.0	389.0	36.0	20281.0	16.0	81.0	3439.0	4.0	0.0	13.0	0.0	121.0	14023.0	21321.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	775.0	2220.0
edc02a883dd22ce1144d1bfac435489c	0.0	555.0	60.0	0.0	0.0	77.0	0.0	14.0	14.0	0.0	26.0	97.0	5839.0	63.0	162.0	0.0	42.0	4417.0	0.0	0.0	0.0	306.0	6490.0	8803.0	0.0	36.0	15.0	593.0	20.0	0.0	5.0	0.0	936.0	0.0	0.0	0.0	44.0	5794.0	0.0	1256.0	0.0	33.0	0.0	0.0	0.0	65.0	0.0	399.0	646.0	0.0	394.0	1294.0	16.0	40.0	53.0	467.0	1504.0	421.0	17921.0	81.0	21.0	24.0	9.0	7.0	286.0	0.0	0.0	16.0	1870.0	13.0	50.0	0.0	34.0	30.0	1206.0	17.0	13.0	30.0	0.0	0.0	0.0	0.0	3036.0	0.0	246.0	110.0	15.0	45.0	87.0	927.0	14.0	241.0	63.0	3800.0	26.0	0.0	1845.0	41.0	27048.0	0.0	13.0	4546.0	14.0	0.0	25.0	0.0	204.0	8504.0	7723.0	17.0	0.0	0.0	0.0	0.0	372.0	0.0	455.0	900.0
acd6b0dd43ddd1666a641bf6d196ffe3	0.0	0.0	6311.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3373.0	187.0	0.0	0.0	58.0	2100.0	0.0	96.0	0.0	0.0	0.0	0.0	1531.0	0.0	25.0	1307.0	4738.0	356.0	608.0	39.0	68.0	10.0	15.0	35.0	27.0	6.0	82.0	16.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	969.0	0.0	0.0	0.0	0.0	0.0	5517.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	101.0	389.0	0.0	26.0	11.0	0.0	6883.0	17880.0	5477.0	1312.0	3340.0	0.0	15.0	0.0	0.0	0.0	0.0	20.0	782.0	2633.0	254.0	21.0	50.0	149.0	3943.0	7294.0	6670.0	3392.0	7368.0	1783.0	535.0	1651.0	0.0	6291.0	2473.0	980.0	0.0	6.0	0.0	1605.0	1094.0	2691.0	277.0	393.0	669.0	616.0	43.0	856.0	64.0	874.0	1293.0	200.0	347.0	209.0	209.0
d445cbc23202a94d3630f58063047c91	0.0	506.0	32.0	0.0	0.0	108.0	0.0	21.0	20.0	0.0	50.0	128.0	814.0	9.0	228.0	2.0	39.0	3516.0	4.0	0.0	6.0	347.0	10613.0	8829.0	0.0	60.0	21.0	201.0	13.0	14.0	0.0	0.0	1072.0	4.0	0.0	0.0	31.0	8061.0	0.0	315.0	0.0	15.0	0.0	0.0	0.0	34.0	0.0	111.0	747.0	0.0	568.0	578.0	0.0	15.0	31.0	414.0	1755.0	413.0	13880.0	67.0	22.0	9.0	0.0	0.0	263.0	0.0	0.0	23.0	1139.0	30.0	47.0	7.0	19.0	44.0	1233.0	0.0	8.0	13.0	0.0	0.0	0.0	0.0	4764.0	0.0	217.0	135.0	20.0	44.0	117.0	491.0	0.0	210.0	46.0	4717.0	5.0	0.0	2783.0	26.0	26500.0	0.0	0.0	3979.0	25.0	0.0	24.0	0.0	256.0	9065.0	10138.0	20.0	0.0	0.0	0.0	0.0	275.0	0.0	48.0	83.0
a9db1efb434d6b2dd09a3c890389d80c	0.0	0.0	1797.0	0.0	0.0	0.0	112.0	238.0	140.0	298.0	220.0	61.0	0.0	4869.0	66.0	0.0	67.0	12.0	330.0	0.0	0.0	19.0	4.0	0.0	0.0	158.0	30.0	0.0	0.0	668.0	91.0	161.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	22.0	8.0	12.0	302.0	0.0	0.0	0.0	56.0	59.0	15233.0	45.0	25.0	329.0	0.0	0.0	227.0	0.0	121.0	16.0	44.0	0.0	79.0	274.0	0.0	331.0	260.0	439.0	19247.0	19604.0	0.0	14.0	228.0	7.0	148.0	13.0	7.0	245.0	592.0	24.0	319.0	54.0	49.0	28258.0	4373.0	3194.0	1731.0	3499.0	797.0	227.0	767.0	2.0	3246.0	836.0	994.0	43.0	0.0	0.0	506.0	328.0	731.0	0.0	362.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	9.0
