Genus	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369	Total	Percent
Alcaligenes	13297	254	1388	6516	10615	2500	10678	29874	11638	24688	18254	9654	1073	954	46179	4538	6002	1342	58088	187	2542	42083	1091	7054	1064	0	38407	75	3788	835	9732	32209	697	0	7	213	0	682	41	4189	1064	256	3075	1140	8882	2629	0	741	65024	11436	4886	3270	13814	32328	724	28614	18585	24078	233	405	31099	182	14310	10844	98	338	205	23571	342	1337	1448	357	81	1192	1174	0	36422	4329	5471	2363	210	12663	18625	1731	46299	20318	1510	1679	11677	1578	5377	12968	815	9629	2954	5	13390	5125	199	23007	1662	172	62900	323	2482	0	0	20541	7288	0	10	997	5082	4366	1347	0	54	19	1055777	15.8
Pseudomonas	68	3712	864	0	25	827	87	581	90	200	316	582	34154	516	599	43	405	22705	390	4636	13	4117	56224	47091	0	354	474	7296	54	256	67	151	5098	4	0	17	164	56980	35	6092	0	1141	25	0	7	305	0	3907	3841	82137	2381	5116	101	271	918	4623	12885	1771	74231	191	369	45	59	94	1776	0	72	252	31112	762	476	57	144	375	5885	124	83	132	9	0	0	11	22576	0	1495	639	99	776	410	3958	343	752	172	21147	135	0	8201	217	140640	448	384	31213	340	466	1382	3	1920	104259	114660	134	13	10	29	59	2372	3	3631	8076	961937	14.4
Stenotrophomonas	0	0	5003	197	109	15	652	966	601	1275	1044	317	0	12393	176	0	339	38	1020	0	13121	160	4	0	0	479	68	13	748	1514	261	579	0	0	12	13	898	10	0	4	12	0	19	28	121	68	17	30	757	15	0	0	130	224	44220	194	95	690	0	11	540	2	543	31	1698	2	361	1150	0	1469	1653	1919	46693	60796	0	22	817	17	463	36	12	516	1405	90	745	242	136	79931	10710	8971	4209	8905	2167	629	1933	2	7892	2079	3343	50	0	0	1625	654	1971	6404	26734	444	111	240401	0	0	83	95	24	4	53	9	619451	9.3
Acinetobacter	7	0	68714	0	1927	3	49	1037	188	160	884	26	0	289	136	0	162	114339	147	23274	0	83	0	14	0	16	78	0	56	19	55	188	0	0	11	8	150664	14	0	5	0	0	1814	0	0	1099	8	0	277	265	0	29	111	2726	557	169	77	43	0	20	78	12	79	10	89	0	6	658	7	85	74	58	125	259	0	55	82	0	0	6	2	16	67	0	86	479	5422	277	160	639	403	122	155	33	8116	2	55	165	150	161	27	18	213	292	4595	2	454	266	12181	93	0	15	117	85	13	111	964	110	407497	6.1
Achromobacter	71	60	25683	1035	843	367	1813	4031	2695	6033	3791	1213	3	20327	213	68	340	77	3183	4	230	296	4	55	0	4304	275	11	844	10352	708	1691	0	0	0	13	524	13	0	2	0	3	10	0	713	4354	64	0	772	18	5	17	201	413	32938	322	105	278	0	14	318	0	2990	208	4460	13	85	3600	56	903	996	2157	6521	15885	0	193	3104	2007	3798	1934	28	878	3481	347	403	790	261	34605	16589	17122	5119	7564	3184	778	2879	3	8481	2764	23858	199	12	0	3095	5407	20065	352	4675	906	88	514	7	0	25	32	3	0	1465	784	347390	5.2
Burkholderia-Caballeronia-Paraburkholderia	4	0	16950	0	0	0	0	0	3	4	0	0	0	8037	279	0	0	192	7181	16	341	0	0	0	0	2322	0	25	2593	17886	1624	3468	51	173	44	175	96	43	30	114	18	6	63	0	0	0	7	0	1608	0	0	0	3	4	15547	0	2	124	0	0	45	0	0	537	1424	0	47	11	0	26177	41855	11646	5636	7907	0	40	0	0	0	0	36	1393	4536	435	167	81	393	10460	11836	13333	6910	12432	3512	1005	3153	0	10364	4556	3189	0	9	11	6190	2129	7617	736	1184	1842	1688	150	1366	151	1247	1891	286	539	705	700	290590	4.3
Corynebacterium 1	23	0	626	0	0	13951	0	6	5073	86	21	20	0	47996	153	19	127	2	433	102	75541	41	4874	7	0	195	69	0	226	587	12	129	0	3	5614	0	728	3627	17	21	0	14	16175	3032	0	187	45	0	674	1610	18	0	37	2	821	7	12	1522	0	23386	359	9445	6	15	357	6919	57	63	14	931	237	34	67	227	0	2977	27	2926	0	0	1852	13669	56	1345	1048	50	638	367	15	44	181	3222	2460	93	5740	3	381	40	1168	68	0	2	455	114	6889	0	1276	684	221	2638	0	0	10	4	1008	0	49	163	278485	4.2
Streptococcus	64	0	372	0	0	0	0	5	9477	15	11	5	0	84	14747	11435	0	34	5	0	0	0	162	0	0	584	0	0	0	26	0	0	677	0	3	0	21291	227	42	2	3565	40	3	0	0	0	26927	38	113	3	5	0	13716	2332	1539	9194	0	0	0	4439	7	1275	0	18	502	205	66	1612	0	114	17437	10	25	12	0	458	0	0	0	0	0	249	0	14073	3	9	34473	29	2	31	41	39	5	30	78	0	38	20859	240	23	2741	2	11109	32	213	843	3128	115	4419	107	4	0	0	0	0	0	24	9	235891	3.5
Proteus	0	0	41	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	17	28817	0	193	15	209	27	0	1435	0	28	0	24	0	0	0	0	0	46	1443	0	0	12	0	0	0	0	81	0	593	15	0	13704	0	0	0	855	151	0	0	0	32676	8	17578	8438	0	0	0	0	0	0	0	5	29	0	0	31	0	0	0	0	0	39162	14	16	3	0	19	1312	45	11	36	9	4	0	39730	5	3	20	0	0	2	0	0	212	0	11	0	335	88	0	0	0	0	0	0	0	0	0	0	187519	2.8
Staphylococcus	71	0	1256	0	0	0	20	774	346	80	47	10	0	573	237	43	421	1455	5833	2	5383	113	7	21	0	2970	105	0	13	1409	159	452	53	9	0	12	1276	0	0	4	82	0	12	11	0	0	0	0	615	507	7	114	171	341	1615	187	238	616	0	619	1251	263	39	173	49229	0	16	179	0	1629	388	23454	340	598	0	54	31	0	7	0	329	1027	1406	35	961	2794	2428	950	31	130	72	375	8276	12	6206	0	1019	31	1194	28	230	3	10447	359	3871	0	1880	304	2079	169	0	0	0	14	0	0	230	368	153198	2.3
