sample ID	forward sequence count
SRR10803248	224544
SRR10803249	22285
SRR10803250	403502
SRR10803251	71342
SRR10803252	109271
SRR10803253	333385
SRR10803254	157744
SRR10803255	303386
SRR10803256	318716
SRR10803257	303717
SRR10803258	211880
SRR10803259	317594
SRR10803260	149442
SRR10803261	292243
SRR10803262	321715
SRR10803263	215113
SRR10803264	215585
SRR10803265	309719
SRR10803266	195836
SRR10803267	277841
SRR10803268	311013
SRR10803269	154838
SRR10803270	186512
SRR10803271	131837
SRR10803272	3495
SRR10803273	81514
SRR10803274	158900
SRR10803275	80633
SRR10803276	82177
SRR10803277	238025
SRR10803278	30858
SRR10803279	101040
SRR10803280	35660
SRR10803281	58036
SRR10803282	40051
SRR10803283	25910
SRR10803284	505324
SRR10803285	337638
SRR10803286	24685
SRR10803287	188500
SRR10803288	136402
SRR10803289	38267
SRR10803290	128451
SRR10803292	30568
SRR10803293	71706
SRR10803294	120768
SRR10803295	234537
SRR10803296	52759
SRR10803297	390097
SRR10803299	356256
SRR10803300	322813
SRR10803301	40065
SRR10803302	150081
SRR10803303	243242
SRR10803304	376674
SRR10803305	293752
SRR10803306	120089
SRR10803307	248930
SRR10803308	272914
SRR10803309	291933
SRR10803310	240823
SRR10803311	194944
SRR10803314	214262
SRR10803315	33929
SRR10803316	330855
SRR10803317	206126
SRR10803318	234268
SRR10803319	252281
SRR10803320	137432
SRR10803321	327692
SRR10803322	306739
SRR10803323	185027
SRR10803324	324347
SRR10803325	263362
SRR10803326	55217
SRR10803327	127332
SRR10803328	208671
SRR10803329	63855
SRR10803330	128959
SRR10803331	55500
SRR10803332	313112
SRR10803333	202579
SRR10803334	271722
SRR10803335	241900
SRR10803336	277641
SRR10803337	140794
SRR10803338	448098
SRR10803339	424654
SRR10803340	304468
SRR10803341	232685
SRR10803342	189956
SRR10803343	256943
SRR10803344	409209
SRR10803345	337722
SRR10803346	195700
SRR10803347	340
SRR10803348	286235
SRR10803349	284165
SRR10803350	497675
SRR10803351	142962
SRR10803352	181077
SRR10803353	54348
SRR10803354	250992
SRR10803355	230438
SRR10803356	214459
SRR10803357	412095
SRR10803358	302586
SRR10803359	390668
SRR10803360	348218
SRR10803361	576963
SRR10803362	93425
SRR10803363	55791
SRR10803364	65852
SRR10803365	70276
SRR10803366	41416
SRR10803367	83994
SRR10803368	59019
SRR10803369	87173
