OTU_0	SRR10803250.24;size=12970
OTU_1	SRR10803250.77;size=7273
OTU_2	SRR10803250.1196;size=6930
OTU_3	SRR10803250.83;size=6221
OTU_4	SRR10803250.127;size=5615
OTU_5	SRR10803250.31;size=4831
OTU_6	SRR10803250.86180;size=4564
OTU_7	SRR10803250.1;size=4457
OTU_8	SRR10803250.55886;size=4009
OTU_9	SRR10803250.220;size=3217
OTU_10	SRR10803250.310;size=2827
OTU_11	SRR10803250.67;size=2576
OTU_12	SRR10803250.44496;size=2175
OTU_13	SRR10803250.92;size=1992
OTU_14	SRR10803250.107;size=1860
OTU_15	SRR10803250.3944;size=1857
OTU_16	SRR10803282.90;size=1403
OTU_17	SRR10803250.1488;size=1394
OTU_18	SRR10803250.125;size=1269
OTU_19	SRR10803250.74;size=1195
OTU_20	SRR10803250.1067;size=1097
OTU_21	SRR10803250.1652;size=766
OTU_22	SRR10803250.2696;size=584
OTU_23	SRR10803250.206;size=582
OTU_24	SRR10803250.851;size=541
OTU_25	SRR10803250.6630;size=494
OTU_26	SRR10803282.41;size=459
OTU_27	SRR10803250.1043;size=444
OTU_28	SRR10803282.57;size=411
OTU_29	SRR10803250.75385;size=403
OTU_30	SRR10803282.128;size=390
OTU_31	SRR10803250.29;size=370
OTU_32	SRR10803250.236;size=364
OTU_33	SRR10803250.1748;size=355
OTU_34	SRR10803282.25;size=252
OTU_35	SRR10803250.4561;size=246
OTU_36	SRR10803250.3216;size=241
OTU_37	SRR10803250.2027;size=222
OTU_38	SRR10803250.4066;size=194
OTU_39	SRR10803250.23843;size=178
OTU_40	SRR10803282.217;size=175
OTU_41	SRR10803250.371;size=147
OTU_42	SRR10803250.24950;size=127
OTU_43	SRR10803282.191;size=123
OTU_44	SRR10803250.601;size=122
OTU_45	SRR10803250.4323;size=117
OTU_46	SRR10803250.2126;size=108
OTU_47	SRR10803250.681;size=101
OTU_48	SRR10803250.26671;size=93
OTU_49	SRR10803250.32410;size=92
OTU_50	SRR10803250.2014;size=81
OTU_51	SRR10803271.1424;size=76
OTU_52	SRR10803250.15368;size=73
OTU_53	SRR10803250.1468;size=72
OTU_54	SRR10803250.234086;size=72
OTU_55	SRR10803250.10812;size=70
OTU_56	SRR10803250.1851;size=67
OTU_57	SRR10803250.4195;size=62
OTU_58	SRR10803271.27860;size=61
OTU_59	SRR10803250.12887;size=53
OTU_60	SRR10803250.16900;size=53
OTU_61	SRR10803250.2880;size=52
OTU_62	SRR10803271.3675;size=50
OTU_63	SRR10803282.1939;size=50
OTU_64	SRR10803250.56163;size=48
OTU_65	SRR10803250.8138;size=46
OTU_66	SRR10803250.9194;size=46
OTU_67	SRR10803250.1930;size=43
OTU_68	SRR10803250.2163;size=42
OTU_69	SRR10803250.5107;size=42
OTU_70	SRR10803250.1732;size=39
OTU_71	SRR10803250.1578;size=38
OTU_72	SRR10803250.57313;size=38
OTU_73	SRR10803250.4855;size=37
OTU_74	SRR10803250.1300;size=36
OTU_75	SRR10803250.15469;size=36
OTU_76	SRR10803250.89;size=35
OTU_77	SRR10803250.13338;size=34
OTU_78	SRR10803250.156846;size=34
OTU_79	SRR10803250.20769;size=34
OTU_80	SRR10803250.6519;size=33
OTU_81	SRR10803282.913;size=33
OTU_82	SRR10803250.9907;size=31
OTU_83	SRR10803250.14143;size=30
OTU_84	SRR10803271.3150;size=30
OTU_85	SRR10803250.11321;size=29
OTU_86	SRR10803250.41633;size=28
OTU_87	SRR10803250.28903;size=27
OTU_88	SRR10803250.38249;size=27
OTU_89	SRR10803250.7036;size=26
OTU_90	SRR10803250.241264;size=25
OTU_91	SRR10803250.27590;size=25
OTU_92	SRR10803250.39035;size=25
OTU_93	SRR10803271.5176;size=25
OTU_94	SRR10803250.119660;size=24
OTU_95	SRR10803250.261;size=24
OTU_96	SRR10803250.27120;size=24
OTU_97	SRR10803271.17398;size=23
OTU_98	SRR10803271.1444;size=22
OTU_99	SRR10803250.1227;size=21
OTU_100	SRR10803250.26151;size=20
OTU_101	SRR10803250.30974;size=20
OTU_102	SRR10803271.20653;size=20
OTU_103	SRR10803282.2766;size=20
OTU_104	SRR10803250.13505;size=19
OTU_105	SRR10803250.21949;size=19
OTU_106	SRR10803250.39984;size=18
OTU_107	SRR10803250.58190;size=18
OTU_108	SRR10803250.9296;size=18
OTU_109	SRR10803271.6522;size=18
OTU_110	SRR10803282.2831;size=18
OTU_111	SRR10803250.17890;size=17
OTU_112	SRR10803250.255763;size=17
OTU_113	SRR10803250.3511;size=17
OTU_114	SRR10803250.39988;size=17
OTU_115	SRR10803250.43797;size=17
OTU_116	SRR10803250.575;size=17
OTU_117	SRR10803250.10521;size=16
OTU_118	SRR10803250.162;size=16
OTU_119	SRR10803250.2101;size=16
OTU_120	SRR10803250.312858;size=16
OTU_121	SRR10803250.31410;size=16
OTU_122	SRR10803250.85794;size=16
OTU_123	SRR10803271.5304;size=16
OTU_124	SRR10803250.16452;size=15
OTU_125	SRR10803250.36733;size=15
OTU_126	SRR10803250.48368;size=15
OTU_127	SRR10803250.5281;size=15
OTU_128	SRR10803250.31413;size=14
OTU_129	SRR10803282.2688;size=14
OTU_130	SRR10803250.34484;size=13
OTU_131	SRR10803250.39094;size=13
OTU_132	SRR10803250.5295;size=13
OTU_133	SRR10803250.8662;size=13
OTU_134	SRR10803271.15;size=13
OTU_135	SRR10803271.6712;size=13
OTU_136	SRR10803250.19669;size=12
OTU_137	SRR10803250.23090;size=12
OTU_138	SRR10803250.336905;size=12
OTU_139	SRR10803250.33897;size=12
OTU_140	SRR10803250.56115;size=12
OTU_141	SRR10803250.6510;size=12
OTU_142	SRR10803250.77015;size=12
OTU_143	SRR10803271.19358;size=12
OTU_144	SRR10803282.3184;size=12
OTU_145	SRR10803250.19450;size=11
OTU_146	SRR10803271.5982;size=11
OTU_147	SRR10803250.107621;size=10
OTU_148	SRR10803250.143781;size=10
OTU_149	SRR10803250.36135;size=10
OTU_150	SRR10803282.5566;size=10
OTU_151	SRR10803250.113272;size=9
OTU_152	SRR10803250.124148;size=9
OTU_153	SRR10803250.243933;size=9
OTU_154	SRR10803250.4076;size=9
OTU_155	SRR10803250.8002;size=9
OTU_156	SRR10803250.80560;size=9
OTU_157	SRR10803250.81263;size=9
OTU_158	SRR10803250.8568;size=9
OTU_159	SRR10803250.8638;size=9
OTU_160	SRR10803282.17301;size=9
OTU_161	SRR10803282.5933;size=9
OTU_162	SRR10803250.100765;size=8
OTU_163	SRR10803250.101810;size=8
OTU_164	SRR10803250.164464;size=8
OTU_165	SRR10803250.190241;size=8
OTU_166	SRR10803250.20266;size=8
OTU_167	SRR10803250.216584;size=8
OTU_168	SRR10803250.22355;size=8
OTU_169	SRR10803250.38930;size=8
OTU_170	SRR10803250.45129;size=8
OTU_171	SRR10803250.46638;size=8
OTU_172	SRR10803250.58164;size=8
OTU_173	SRR10803250.83377;size=8
OTU_174	SRR10803271.12661;size=8
OTU_175	SRR10803271.1559;size=8
OTU_176	SRR10803250.102239;size=7
OTU_177	SRR10803250.109609;size=7
OTU_178	SRR10803250.116724;size=7
OTU_179	SRR10803250.156459;size=7
OTU_180	SRR10803250.24833;size=7
OTU_181	SRR10803250.25562;size=7
OTU_182	SRR10803250.3273;size=7
OTU_183	SRR10803250.332728;size=7
OTU_184	SRR10803250.62175;size=7
OTU_185	SRR10803250.63166;size=7
OTU_186	SRR10803250.79636;size=7
OTU_187	SRR10803250.80384;size=7
OTU_188	SRR10803250.98204;size=7
OTU_189	SRR10803271.4169;size=7
OTU_190	SRR10803271.5633;size=7
OTU_191	SRR10803271.7417;size=7
OTU_192	SRR10803271.7640;size=7
OTU_193	SRR10803282.5060;size=7
OTU_194	SRR10803250.136902;size=6
OTU_195	SRR10803250.137346;size=6
OTU_196	SRR10803250.141757;size=6
OTU_197	SRR10803250.17969;size=6
OTU_198	SRR10803250.18290;size=6
OTU_199	SRR10803250.206474;size=6
OTU_200	SRR10803250.223878;size=6
OTU_201	SRR10803250.23177;size=6
OTU_202	SRR10803250.33917;size=6
OTU_203	SRR10803250.3746;size=6
OTU_204	SRR10803250.5684;size=6
OTU_205	SRR10803250.66494;size=6
OTU_206	SRR10803250.81987;size=6
OTU_207	SRR10803250.89577;size=6
OTU_208	SRR10803250.94565;size=6
